Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol,Anomalie_ISO,Anomalie_DBSCAN,Anomalie_Final
2025-03-15,2,Woodbourne Air Station,BHE,1,Auckland International,AKL,0,Singapore Airlines,4370.0,SQ4370,1,0,1
2025-03-15,2,Woodbourne Air Station,BHE,1,Auckland International,AKL,0,Qantas,8508.0,QF8508,1,0,1
2025-03-15,2,Cowra,CWT,2,Sydney Kingsford Smith Airport,SYD,3,Toll Aviation,,,1,0,1
2025-03-15,2,New Plymouth,NPL,10,Auckland International,AKL,0,Qantas,8502.0,QF8502,1,0,1
2025-03-15,2,New Plymouth,NPL,10,Auckland International,AKL,0,Singapore Airlines,4400.0,SQ4400,1,0,1
2025-03-15,2,New Plymouth,NPL,10,Auckland International,AKL,0,Air New Zealand,5030.0,NZ5030,1,0,1
2025-03-15,2,New Plymouth,NPL,4,Wellington International,WLG,0,Air New Zealand,5791.0,NZ5791,1,0,1
2025-03-15,2,Seoul (Incheon),ICN,18,Shanghai Pudong International,PVG,0,Atlas Air,8143.0,5Y8143,1,0,1
2025-03-15,2,Seoul (Incheon),ICN,10,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,0,Tigerair Taiwan,603.0,IT603,1,0,1
2025-03-15,2,Seoul (Incheon),ICN,31,Shanghai Pudong International,PVG,0,Atlas Air,8065.0,5Y8065,1,0,1
2025-03-15,2,Seoul (Incheon),ICN,21,Shanghai Pudong International,PVG,0,Atlas Air,811.0,5Y811,1,0,1
2025-03-15,2,Shenzhen,SZX,24,Noibai International,HAN,0,Air China LTD,7977.0,CA7977,1,0,1
2025-03-15,2,Guangzhou Baiyun International,CAN,1,Kota-Kinabalu International Airport,BKI,0,AirAsia,1531.0,AK1531,1,0,1
2025-03-15,2,Shenzhen,SZX,24,Noibai International,HAN,0,Shenzhen Airlines,107.0,ZH107,1,0,1
2025-03-15,2,Daguocun,SJW,10,Nanjing Lukou International Airport,NKG,0,China Postal Airlines,9005.0,CF9005,1,0,1
2025-03-15,2,Nelson,NSN,9,Auckland International,AKL,0,Air New Zealand,5064.0,NZ5064,1,0,1
2025-03-15,2,Nelson,NSN,9,Auckland International,AKL,0,Qantas,8475.0,QF8475,1,0,1
2025-03-15,2,Hawkes Bay,NPE,1,Auckland International,AKL,0,Air New Zealand,5002.0,NZ5002,1,0,1
2025-03-15,2,Hawkes Bay,NPE,1,Auckland International,AKL,0,Qantas,8469.0,QF8469,1,0,1
2025-03-15,2,Penang International,PEN,6,Hong Kong International,HKG,0,Cathay Pacific,5749.0,CX5749,1,0,1
2025-03-15,2,Penang International,PEN,6,Hong Kong International,HKG,0,Hong Kong Express,749.0,UO749,1,0,1
2025-03-15,2,Auckland International,AKL,8,Queenstown,ZQN,0,United Airlines,6747.0,UA6747,1,0,1
2025-03-15,2,Haneda Airport,HND,16,Seoul (Incheon),ICN,0,Virgin Atlantic,5530.0,VS5530,1,0,1
2025-03-15,2,Haneda Airport,HND,16,Seoul (Incheon),ICN,0,Air France,5367.0,AF5367,1,0,1
2025-03-15,2,Haneda Airport,HND,16,Seoul (Incheon),ICN,0,Japan Airlines,5257.0,JL5257,1,0,1
2025-03-15,2,Haneda Airport,HND,20,Seoul (Incheon),ICN,0,ANA,6895.0,NH6895,1,0,1
2025-03-15,2,Palmerston North,PMR,2,Christchurch International,CHC,0,Air New Zealand,5189.0,NZ5189,1,0,1
2025-03-15,2,Palmerston North,PMR,2,Christchurch International,CHC,0,Singapore Airlines,4530.0,SQ4530,1,0,1
2025-03-15,2,Auckland International,AKL,8,Dunedin International,DUD,0,United Airlines,6738.0,UA6738,1,0,1
2025-03-15,2,Shanghai Pudong International,PVG,17,Haneda Airport,HND,0,Peach Aviation,876.0,MM876,1,0,1
2025-03-15,2,Tianjin Binhai International,TSN,41,Nanjing Lukou International Airport,NKG,13,China Postal Airlines,9101.0,CF9101,1,0,1
2025-03-15,2,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,25,Haneda Airport,HND,7,Tigerair Taiwan,216.0,IT216,1,0,1
2025-03-15,2,Christchurch International,CHC,1,Wellington International,WLG,0,Air New Zealand,5332.0,NZ5332,1,0,1
2025-03-15,2,Christchurch International,CHC,1,Wellington International,WLG,0,Etihad Airways,4560.0,EY4560,1,0,1
2025-03-15,2,Christchurch International,CHC,5,Auckland International,AKL,0,Air New Zealand,584.0,NZ584,1,0,1
2025-03-15,2,Christchurch International,CHC,5,Auckland International,AKL,0,Turkish Airlines,8752.0,TK8752,1,0,1
2025-03-15,2,Christchurch International,CHC,5,Auckland International,AKL,0,Asiana Airlines,6548.0,OZ6548,1,0,1
2025-03-15,2,Christchurch International,CHC,5,Auckland International,AKL,0,ANA,7955.0,NH7955,1,0,1
2025-03-15,2,Christchurch International,CHC,5,Auckland International,AKL,0,Etihad Airways,4497.0,EY4497,1,0,1
2025-03-15,2,Christchurch International,CHC,5,Auckland International,AKL,0,EVA Air,3260.0,BR3260,1,0,1
2025-03-15,2,Christchurch International,CHC,3,Wellington International,WLG,0,Jetstar,288.0,JQ288,1,0,1
2025-03-15,2,Christchurch International,CHC,3,Wellington International,WLG,0,Qantas,5813.0,QF5813,1,0,1
2025-03-15,2,Christchurch International,CHC,3,Wellington International,WLG,0,Fiji Airways,5554.0,FJ5554,1,0,1
2025-03-15,2,Christchurch International,CHC,48,Auckland International,AKL,34,Jetstar,226.0,JQ226,-1,0,1
2025-03-15,2,Christchurch International,CHC,48,Auckland International,AKL,34,Qantas,5593.0,QF5593,-1,0,1
2025-03-15,2,Christchurch International,CHC,48,Auckland International,AKL,34,Fiji Airways,5512.0,FJ5512,-1,0,1
2025-03-15,2,Christchurch International,CHC,48,Auckland International,AKL,34,Emirates,7486.0,EK7486,-1,0,1
2025-03-15,2,Christchurch International,CHC,48,Auckland International,AKL,34,American Airlines,9037.0,AA9037,-1,0,1
2025-03-15,2,Hangzhou,HGH,23,Shenzhen,SZX,20,SF Airlines,7223.0,O37223,-1,0,1
2025-03-15,2,Shenzhen,SZX,36,Beijing Capital International,PEK,13,SF Airlines,6811.0,O36811,1,0,1
2025-03-15,2,Noibai International,HAN,9,Ninoy Aquino International,MNL,0,Vietnam Airlines,647.0,VN647,1,0,1
2025-03-15,2,Mactan-Cebu International,CEB,16,Ninoy Aquino International,MNL,0,Cebu Pacific Air,6512.0,5J6512,1,0,1
2025-03-15,2,Hawkes Bay,NPE,5,Auckland International,AKL,0,Air New Zealand,5006.0,NZ5006,1,0,1
2025-03-15,2,Sydney Kingsford Smith Airport,SYD,23,Canberra,CBR,25,empty,,,-1,0,1
2025-03-15,2,Auckland International,AKL,6,Christchurch International,CHC,0,Emirates,7525.0,EK7525,1,0,1
2025-03-15,2,Seoul (Incheon),ICN,28,Shanghai Pudong International,PVG,10,Korean Air,249.0,KE249,1,0,1
