Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,ANA,7957,NH7957
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,Asiana Airlines,6558,OZ6558
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,ANA,7957,NH7957
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,Etihad Airways,4518,EY4518
2025-03-15,landed,Wellington International,WLG,9.0,Auckland International,AKL,,EVA Air,3300,BR3300
2025-03-15,landed,Shanghai Pudong International,PVG,18.0,Shenzhen,SZX,7.0,SF Airlines,7203,O37203
2025-03-15,landed,Shanghai Pudong International,PVG,11.0,Beijing Capital International,PEK,,SF Airlines,7201,O37201
2025-03-15,landed,Wuxi,WUX,,Beijing Capital International,PEK,,SF Airlines,7333,O37333
2025-03-15,landed,Wuxi,WUX,53.0,Shenzhen,SZX,32.0,SF Airlines,6840,O36840
2025-03-15,landed,Auckland International,AKL,24.0,Rotorua,ROT,7.0,Air China LTD,5962,CA5962
2025-03-15,landed,Auckland International,AKL,24.0,Rotorua,ROT,7.0,Etihad Airways,4483,EY4483
2025-03-15,landed,Auckland International,AKL,24.0,Rotorua,ROT,7.0,Singapore Airlines,4418,SQ4418
2025-03-15,landed,Auckland International,AKL,24.0,Rotorua,ROT,7.0,Air New Zealand,5151,NZ5151
2025-03-15,landed,Ngurah Rai International,DPS,,Perth International,PER,,AirAsia,548,AK548
2025-03-15,landed,Beijing Capital International,PEK,,Shenzhen,SZX,,SF Airlines,7109,O37109
2025-03-15,landed,Beijing Capital International,PEK,15.0,Hangzhou,HGH,,SF Airlines,7119,O37119
2025-03-15,landed,Bandar Seri Begwan International Airport,BWN,6.0,Soekarno-Hatta International,CGK,,Royal Brunei Airlines,737,BI737
2025-03-15,landed,Perth International,PER,7.0,Melbourne - Tullamarine Airport,MEL,,Jetstar,971,JQ971
2025-03-15,landed,Zhengzhou,CGO,,Lishe International Airport,NGB,,Longhao Airlines,4027,GI4027
2025-03-15,landed,Queenstown,ZQN,9.0,Auckland International,AKL,,EVA Air,3232,BR3232
2025-03-15,landed,Queenstown,ZQN,9.0,Auckland International,AKL,,Etihad Airways,4523,EY4523
2025-03-15,landed,Queenstown,ZQN,9.0,Auckland International,AKL,,ANA,7977,NH7977
2025-03-15,landed,Queenstown,ZQN,9.0,Auckland International,AKL,,Singapore Airlines,4457,SQ4457
2025-03-15,landed,Queenstown,ZQN,9.0,Auckland International,AKL,,Turkish Airlines,8726,TK8726
2025-03-15,landed,Queenstown,ZQN,9.0,Auckland International,AKL,,Air New Zealand,638,NZ638
2025-03-15,landed,Dunedin International,DUD,5.0,Wellington International,WLG,,Etihad Airways,4620,EY4620
2025-03-15,landed,Dunedin International,DUD,5.0,Wellington International,WLG,,Qantas,8571,QF8571
2025-03-15,landed,Dunedin International,DUD,5.0,Wellington International,WLG,,Air New Zealand,5680,NZ5680
2025-03-15,landed,Lohegaon,PNQ,4.0,Hyderabad Airport,HYD,,IndiGo,336,6E336
2025-03-15,landed,Tauranga,TRG,10.0,Christchurch International,CHC,14.0,Air New Zealand,5807,NZ5807
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,,Adelaide International Airport,ADL,40.0,National Jet Express,7448,NC7448
2025-03-15,landed,Jinjiang,JJN,19.0,Hangzhou,HGH,13.0,SF Airlines,7067,O37067
2025-03-15,landed,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,,Shanghai Pudong International,PVG,,China Cargo,262,CK262
2025-03-15,landed,Beijing Daxing International Airport,PKX,,Wuxi,WUX,,JDL Airlines,2863,JG2863
2025-03-15,landed,Auckland International,AKL,8.0,Palmerston North,PMR,,Air New Zealand,5119,NZ5119
2025-03-15,landed,Auckland International,AKL,8.0,Palmerston North,PMR,,Singapore Airlines,4413,SQ4413
2025-03-15,landed,Auckland International,AKL,13.0,Queenstown,ZQN,,Jetstar,299,JQ299
2025-03-15,landed,Auckland International,AKL,13.0,Queenstown,ZQN,,Qantas,5823,QF5823
2025-03-15,landed,Auckland International,AKL,13.0,Queenstown,ZQN,,Emirates,7571,EK7571
2025-03-15,landed,Auckland International,AKL,13.0,Queenstown,ZQN,,American Airlines,9041,AA9041
2025-03-15,landed,Woodbourne Air Station,BHE,5.0,Wellington International,WLG,,Sounds Air,212,S8212
2025-03-15,landed,Francisco Bangoy International,DVO,76.0,Ninoy Aquino International,MNL,36.0,Cebu Pacific Air,954,5J954
2025-03-15,landed,Francisco Bangoy International,DVO,15.0,Ninoy Aquino International,MNL,,Cebu Pacific Air,976,5J976
2025-03-15,landed,Ninoy Aquino International,MNL,13.0,Suvarnabhumi International,BKK,,Cebu Pacific Air,931,5J931
2025-03-15,landed,Darwin,DRW,16.0,Melbourne - Tullamarine Airport,MEL,,Qantas,839,QF839
2025-03-15,landed,Darwin,DRW,16.0,Melbourne - Tullamarine Airport,MEL,,Air New Zealand,7839,NZ7839
2025-03-15,landed,Darwin,DRW,16.0,Melbourne - Tullamarine Airport,MEL,,Cathay Pacific,9042,CX9042
2025-03-15,landed,Darwin,DRW,16.0,Melbourne - Tullamarine Airport,MEL,,China Eastern Airlines,4103,MU4103
2025-03-15,landed,Nelson,NSN,22.0,Wellington International,WLG,8.0,Sounds Air,330,S8330
2025-03-15,landed,Shanghai Pudong International,PVG,,Seoul (Incheon),ICN,,China Cargo,257,CK257
2025-03-15,landed,Wanaka,WKA,,Christchurch International,CHC,,Sounds Air,740,S8740
2025-03-15,landed,Kununurra,KNX,17.0,Broome,BME,12.0,Thai AirAsia,608,FD608
2025-03-15,landed,Mount Gambier,MGB,,Adelaide International Airport,ADL,,Thai AirAsia,574,FD574
2025-03-15,landed,Beirut Rafic Hariri Airport,BEY,,Bole International,ADD,,Ethiopian Airlines,3407,ET3407
2025-03-15,landed,Woodbourne Air Station,BHE,,Wellington International,WLG,,Sounds Air,254,S8254
2025-03-15,landed,Woodbourne Air Station,BHE,,Wellington International,WLG,,Sounds Air,282,S8282
2025-03-15,landed,Wellington International,WLG,8.0,Nelson,NSN,2.0,Sounds Air,359,S8359
2025-03-15,landed,Vladivostok,VVO,36.0,Harbin,HRB,19.0,Aurora,5472,HZ5472
2025-03-15,landed,Vladivostok,VVO,5.0,Beijing Daxing International Airport,PKX,2.0,Rossiya Airlines,6611,FV6611
2025-03-15,landed,Guangzhou Baiyun International,CAN,60.0,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,31.0,SF Airlines,7911,O37911
2025-03-15,landed,Sydney Bankstown,BWU,2.0,Canberra,CBR,1.0,Mandarin Airlines,950,AE950
2025-03-15,landed,Madras International (Meenambakkam),MAA,6.0,Bandaranaike International,CMB,,IndiGo,1171,6E1171
2025-03-15,landed,Wellington International,WLG,2.0,Woodbourne Air Station,BHE,,Sounds Air,215,S8215
2025-03-15,landed,Geraldton,GET,31.0,Jandakot,JAD,,Thai AirAsia,614,FD614
2025-03-15,landed,Gladstone,GLT,8.0,Gladstone,GLT,,empty,,
2025-03-15,landed,Maroochydore,MCY,5.0,Canberra,CBR,17.0,empty,,
2025-03-15,landed,Brisbane International,BNE,16.0,Rockhampton,ROK,17.0,Thai AirAsia,471,FD471
2025-03-15,landed,Lanzhou Zhongchuan Airport,LHW,,Nanjing Lukou International Airport,NKG,,China Postal Airlines,9001,CF9001
2025-03-15,landed,Sydney Kingsford Smith Airport,SYD,,Adelaide International Airport,ADL,40.0,Northern Air Cargo,7448,NC7448
2025-03-15,landed,Wellington International,WLG,3.0,Woodbourne Air Station,BHE,,Sounds Air,281,S8281
2025-03-15,landed,Naracoorte,NAC,,Mount Gambier,MGB,,Thai AirAsia,574,FD574
2025-03-14,landed,Salt Lake City International,SLC,17.0,Newark Liberty International,EWR,,United Airlines,2315,UA2315
2025-03-14,landed,Gen Belgrano,SLA,29.0,Aeroparque Jorge Newbery,AEP,1.0,Aerolineas Argentinas,1195,AR1195
2025-03-14,landed,Gen Belgrano,SLA,29.0,Aeroparque Jorge Newbery,AEP,1.0,LATAM Airlines,8380,LA8380
2025-03-14,landed,Saidpur,SPD,25.0,Zia International,DAC,2.0,Biman Bangladesh Airlines,492,BG492
2025-03-14,landed,Ninoy Aquino International,MNL,17.0,Iloilo International,ILO,,China Airlines,8943,CI8943
2025-03-14,landed,Changchun,CGQ,2.0,Weihai,WEH,,Chengdu Airlines,2722,EU2722
2025-03-14,landed,Changchun,CGQ,13.0,Shanghai Pudong International,PVG,,Shanghai Airlines,9068,FM9068
2025-03-14,landed,Changchun,CGQ,4.0,Zhengzhou,CGO,,Lucky Air,9638,8L9638
2025-03-14,landed,Changchun,CGQ,,Chongqing Jiangbei International,CKG,,Chongqing Airlines,2078,OQ2078
2025-03-14,landed,Changchun,CGQ,11.0,Hangzhou,HGH,6.0,Xiamen Airlines,8044,MF8044
2025-03-14,landed,Changchun,CGQ,10.0,Taiyuan,TYN,2.0,Shandong Airlines,2268,SC2268
2025-03-14,landed,Changchun,CGQ,1.0,Yulin,UYN,3.0,Air China LTD,9092,CA9092
2025-03-14,landed,Changchun,CGQ,1.0,Yulin,UYN,3.0,Xiamen Airlines,2468,MF2468
2025-03-14,landed,Changchun,CGQ,1.0,Yulin,UYN,3.0,Loong Air,3740,GJ3740
2025-03-14,landed,Changchun,CGQ,6.0,Qingdao,TAO,,Tibet Airlines,3215,TV3215
2025-03-14,landed,Changchun,CGQ,6.0,Qingdao,TAO,,China Express Air,6537,G56537
2025-03-14,landed,Changchun,CGQ,6.0,Qingdao,TAO,,Air China LTD,4815,CA4815
2025-03-14,landed,Changchun,CGQ,6.0,Qingdao,TAO,,Shenzhen Airlines,2705,ZH2705
2025-03-14,landed,Changchun,CGQ,1.0,Beijing Capital International,PEK,,Shenzhen Airlines,1628,ZH1628
2025-03-14,landed,Changchun,CGQ,1.0,Beijing Capital International,PEK,,Air New Zealand,3959,NZ3959
2025-03-14,landed,Iloilo International,ILO,,Cagayan De Oro Domestic Airport,CGY,,Cebu Pacific Air,4867,5J4867
2025-03-14,landed,Almeria,LEI,58.0,San Pablo,SVQ,35.0,Iberia,2300,IB2300
2025-03-14,landed,Almeria,LEI,21.0,Barajas,MAD,,Iberia,1036,IB1036
2025-03-14,landed,Almeria,LEI,21.0,Barajas,MAD,,Finnair,5618,AY5618
2025-03-14,landed,Almeria,LEI,21.0,Barajas,MAD,,Japan Airlines,7842,JL7842
2025-03-14,landed,Almeria,LEI,21.0,Barajas,MAD,,Qatar Airways,6533,QR6533
2025-03-14,landed,Almeria,LEI,33.0,Barajas,MAD,2.0,American Airlines,8538,AA8538
2025-03-14,landed,Chengdu Tianfu International Airport,TFU,6.0,Zhengzhou,CGO,,Air China LTD,2695,CA2695
2025-03-14,landed,Chengdu Tianfu International Airport,TFU,6.0,Zhengzhou,CGO,,Shenzhen Airlines,4295,ZH4295
2025-03-14,landed,Shenyang,SHE,5.0,Zhengzhou,CGO,,Shandong Airlines,9016,SC9016
2025-03-14,landed,Shenyang,SHE,5.0,Zhengzhou,CGO,,Juneyao Airlines,5009,HO5009
2025-03-14,landed,Shenyang,SHE,5.0,Zhengzhou,CGO,,Air China LTD,3326,CA3326
2025-03-14,landed,Shanghai Hongqiao International,SHA,5.0,Zhengzhou,CGO,,China Eastern Airlines,8443,MU8443
2025-03-14,landed,Chongqing Jiangbei International,CKG,3.0,Zhengzhou,CGO,,Sichuan Airlines,1200,3U1200
2025-03-14,landed,Zhengzhou,CGO,8.0,Shanghai Pudong International,PVG,,Suparna Airlines,7518,Y87518
2025-03-14,landed,Zhengzhou,CGO,8.0,Shanghai Pudong International,PVG,,Hainan Airlines,4710,HU4710
